                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95802,                0.99792,                 1.2545,                0.89915,                0.84712,                0.91627,                0.67013,                 0.8437,                 1.2089,                 1.0184,              0.0033333,              0.0033333,              0.0033333
                      2,                0.86633,                0.58192,                 1.1799,                0.90757,                0.85369,                0.92016,                0.68045,                0.85438,                0.90301,                 1.0311,              0.0060066,              0.0060066,              0.0060066
                      3,                0.85525,                0.56186,                 1.1704,                0.90232,                0.84675,                0.91604,                0.67926,                0.85987,                0.73844,                 1.0317,                0.00802,                0.00802,                0.00802
                      3,                0.84755,                0.55559,                 1.1657,                0.89426,                 0.8252,                0.90213,                0.66803,                0.89003,                0.85791,                 1.0624,              0.0080199,              0.0080199,              0.0080199
                      4,                0.82062,                0.52492,                 1.1458,                0.90658,                0.85789,                0.91876,                0.68363,                0.87072,                 1.3742,                 1.0643,                0.00703,                0.00703,                0.00703
                      5,                0.77467,                0.48311,                 1.1136,                0.90571,                0.86913,                0.91957,                0.68566,                0.86533,                 1.5922,                 1.0801,                0.00604,                0.00604,                0.00604
                      6,                0.73555,                0.44998,                 1.0871,                  0.905,                0.87053,                0.91958,                0.68562,                0.87015,                 1.6975,                 1.0901,                0.00505,                0.00505,                0.00505
                      6,                0.73463,                0.44949,                 1.0863,                0.90075,                0.87398,                0.91794,                0.68623,                0.86848,                 1.3938,                 1.0884,                0.00505,                0.00505,                0.00505
                      7,                0.70307,                0.42275,                 1.0652,                0.91078,                0.86429,                0.91939,                0.68817,                0.86877,                 1.3558,                 1.0964,                0.00406,                0.00406,                0.00406
                      8,                0.66256,                0.39052,                 1.0382,                0.90834,                0.86662,                0.92049,                0.69028,                0.87385,                 1.3246,                 1.1081,                0.00307,                0.00307,                0.00307
                      9,                0.61458,                0.35391,                 1.0067,                0.90202,                0.86934,                0.92072,                0.69383,                0.87422,                 1.0544,                 1.1167,                0.00208,                0.00208,                0.00208
                     10,                0.55378,                0.31032,                0.96964,                0.90949,                0.86459,                0.92145,                0.69518,                0.87567,                 1.0052,                 1.1293,                0.00109,                0.00109,                0.00109
