                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.53414,                0.29651,                0.95837,                0.90754,                0.87197,                0.92405,                 0.6962,                0.87182,                 1.0337,                 1.1275,              0.0033333,              0.0033333,              0.0033333
                      2,                0.66877,                0.39965,                 1.0416,                0.90565,                0.87172,                0.91893,                0.68926,                0.86356,                 1.2061,                 1.0995,              0.0060666,              0.0060666,              0.0060666
                      3,                 0.7611,                0.47561,                 1.1033,                0.90812,                0.85827,                0.91854,                0.68759,                0.87154,                0.77053,                 1.0638,              0.0081999,              0.0081999,              0.0081999
                      4,                 0.7827,                0.49175,                 1.1183,                0.90587,                0.86498,                0.91805,                0.68458,                0.87078,                0.95902,                 1.0736,                 0.0073,                 0.0073,                 0.0073
                      5,                0.74831,                0.46047,                 1.0945,                0.90248,                0.86595,                0.91624,                0.68402,                0.87027,                 1.0517,                 1.0897,                 0.0064,                 0.0064,                 0.0064
                      6,                0.72278,                0.43868,                 1.0774,                0.90802,                0.86283,                0.91447,                0.68506,                0.86471,                0.93955,                 1.0902,                 0.0055,                 0.0055,                 0.0055
                      7,                0.69574,                0.41686,                 1.0596,                0.91073,                0.86524,                0.91701,                 0.6881,                0.86616,                 1.0869,                 1.0932,                 0.0046,                 0.0046,                 0.0046
                      8,                0.66566,                0.39338,                 1.0393,                0.90939,                0.86593,                 0.9179,                0.68958,                0.86738,                 1.1338,                 1.0999,                 0.0037,                 0.0037,                 0.0037
                      9,                0.63083,                0.36728,                 1.0169,                0.91028,                0.86477,                0.91616,                0.68892,                0.87268,                  1.061,                 1.1141,                 0.0028,                 0.0028,                 0.0028
                     10,                 0.5877,                0.33476,                0.98995,                0.91449,                0.86229,                0.91726,                0.69162,                 0.8754,                 1.1115,                  1.124,                 0.0019,                 0.0019,                 0.0019
